CSMILES,Tg
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0$0$1,-112.2301374868
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0$0.048$0.952,-111.03194359999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0$0.204$0.796,-103.69348399999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0$0.788$0.212,-88.84535499999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0$0.816$0.184,-84.33976709999999
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0$0.912$0.088,-84.66198249999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0$1$0,-83.55473549999996
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.024$0.232$0.744,-99.57807859999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.048$0.66$0.292,-81.87391019999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.052$0.192$0.756,-98.17536079999996
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.052$0.348$0.6,-93.77718129999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.052$0.408$0.54,-96.52776679999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.076$0.12$0.804,-100.99473219999999
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.076$0.252$0.672,-97.20370659999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.1$0.396$0.504,-92.31894409999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.1$0.58$0.32,-81.96180049999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.124$0.768$0.108,-76.71800019999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.148$0.556$0.296,-83.57115739999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.176$0.168$0.656,-92.75107729999996
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.2$0.488$0.312,-79.38892439999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.224$0.108$0.668,-84.30049989999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.224$0.248$0.528,-83.01634219999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.252$0.42$0.328,-77.43449349999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.276$0.004$0.72,-85.77000709999999
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.276$0.032$0.692,-86.93078679999996
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.276$0.308$0.416,-79.76260499999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.276$0.412$0.312,-76.65375919999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.292$0.352$0.356,-81.24845329999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.3$0.376$0.324,-74.46674919999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.376$0.508$0.116,-60.62657619999999
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.4$0.152$0.448,-70.07032579999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.4$0.492$0.108,-59.98286199999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.424$0.152$0.424,-67.19984319999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.476$0.228$0.296,-57.46854049999999
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.476$0.424$0.1,-51.771826199999964
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.492$0.256$0.252,-57.824441699999966
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.524$0.064$0.412,-57.54873789999996
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.552$0.388$0.06,-48.353292599999975
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.6$0.012$0.388,-51.39475939999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.652$0.216$0.132,-37.67397549999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.692$0.152$0.156,-38.75962229999999
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.7$0.296$0.004,-38.570237599999984
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.724$0.024$0.252,-39.642934699999984
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.752$0.212$0.036,-32.53570979999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.776$0.1$0.124,-32.77232779999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$0.9$0.1$0,-15.924618399999986
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0$1$0$0,-11.102520499999969
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.024$0$0.196$0.78,-98.44242829999999
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.024$0.024$0.288$0.664,-96.44037059999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.024$0.052$0.576$0.348,-88.32997009999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.024$0.076$0.044$0.856,-100.87935849999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.024$0.1$0.124$0.752,-89.72443249999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.024$0.1$0.428$0.448,-86.50788469999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.024$0.124$0.616$0.236,-81.51781429999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.024$0.152$0.32$0.504,-91.01411869999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.024$0.152$0.648$0.176,-75.39642039999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.024$0.2$0.036$0.74,-89.23598469999999
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.024$0.2$0.696$0.08,-73.59444179999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.024$0.276$0.468$0.232,-71.00884999999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.024$0.3$0.196$0.48,-65.41634359999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.024$0.3$0.5$0.176,-61.257229799999976
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.024$0.324$0.204$0.448,-68.33422249999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.024$0.424$0.436$0.116,-58.030939899999964
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.024$0.476$0.112$0.388,-55.93956459999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.024$0.476$0.46$0.04,-51.82017539999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.024$0.552$0.024$0.4,-45.895002999999974
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.024$0.552$0.304$0.12,-46.65656889999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.024$0.624$0.004$0.348,-39.66607299999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.024$0.824$0.048$0.104,-19.891728599999965
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.028$0.024$0.48$0.468,-89.08772319999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.028$0.124$0.552$0.296,-78.83656149999999
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.028$0.324$0.46$0.188,-67.32882739999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.028$0.724$0.216$0.032,-32.50610539999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.048$0.076$0.116$0.76,-91.48789939999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.048$0.076$0.688$0.188,-77.09017209999999
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.048$0.176$0.392$0.384,-81.09593939999996
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.048$0.276$0.544$0.132,-61.85193989999999
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.048$0.376$0.332$0.244,-64.03528039999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.048$0.476$0.012$0.464,-52.85855889999999
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.048$0.576$0.32$0.056,-39.34510499999999
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.052$0$0.156$0.792,-94.66081519999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.052$0$0.704$0.244,-79.33731669999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.052$0.024$0.276$0.648,-91.21022419999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.052$0.024$0.516$0.408,-83.92723479999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.052$0.048$0.06$0.84,-96.16471739999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.052$0.048$0.348$0.552,-87.16778439999999
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.052$0.076$0.616$0.256,-77.53852299999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.052$0.1$0.692$0.156,-69.38869969999999
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.052$0.124$0.584$0.24,-71.01367369999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.052$0.148$0.448$0.352,-69.50452259999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.052$0.152$0.084$0.712,-86.15444009999999
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.052$0.152$0.504$0.292,-75.54440789999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.052$0.224$0.432$0.292,-69.06160839999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.052$0.248$0.296$0.404,-66.58529129999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.052$0.324$0.448$0.176,-57.480797999999965
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.052$0.352$0.232$0.364,-60.42989879999999
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.052$0.448$0.104$0.396,-50.31282539999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.052$0.476$0.22$0.252,-50.03491009999999
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.052$0.5$0.196$0.252,-44.78886539999996
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.052$0.576$0.12$0.252,-38.91361709999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.052$0.7$0.008$0.24,-32.754077799999976
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.052$0.824$0.12$0.004,-9.250844599999994
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.056$0.276$0.332$0.336,-60.54546039999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.056$0.464$0.244$0.236,-47.26732629999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.056$0.652$0.14$0.152,-30.62857169999998
